time	description	took	gas	profiling overhead
2021-04-01T07:44:46.997Z	shorten schedule and replace placeholders with test accounts	93
2021-04-01T07:44:47.090Z	create extra test accounts for reallocation tests	36
2021-04-01T07:44:47.126Z	preseed all test accounts	255	387490	7
2021-04-01T07:44:47.389Z	build and deploy token	5098	141039	3
2021-04-01T07:44:52.490Z	build and deploy mgmt	5061	252863	3
2021-04-01T07:44:57.554Z	build and deploy rpt	5051	136784	3
2021-04-01T07:45:02.608Z	setting null viewing keys...	6301	2043457	16
2021-04-01T07:45:08.926Z	mgmt becomes owner of token...	8839	217809	109
2021-04-01T07:45:17.875Z	pointing RPT account in schedule to RPT contract...	4940	257268	10
2021-04-01T07:45:22.825Z	launching the vesting...	5187	329894	4